,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
13,0.0,3,3931037,95,Apartment,2,Entire home/apt,0.0
14,1.0,1,10803849,30,Bed & Breakfast,8,Private room,5.0
15,1.0,2,9024916,129,Apartment,5,Entire home/apt,5.0
16,1.0,2,11798442,89,Apartment,2,Private room,0.0
17,1.0,2,10424720,120,House,3,Entire home/apt,5.0
0,1.0,2,11798442,89,Apartment,2,Private room,0.0
1,1.0,2,10424720,120,House,3,Entire home/apt,5.0
2,1.0,1,7743335,55,Apartment,18,Private room,5.0
3,1.0,2,10836671,129,House,4,Private room,5.0
4,1.0,2,8307723,130,House,12,Entire home/apt,4.5
5,1.0,2,6311019,129,Apartment,23,Entire home/apt,5.0
6,0.0,2,6602267,107,House,10,Entire home/apt,5.0
7,1.0,2,11086420,49,House,8,Private room,4.5
8,1.0,2,6292762,59,Townhouse,13,Private room,5.0
9,0.0,4,11701494,99,Apartment,2,Entire home/apt,0.0
10,1.0,2,11773631,45,House,1,Private room,0.0
11,1.0,2,7517765,99,Loft,5,Private room,5.0
12,1.0,2,10634053,40,House,7,Shared room,4.5
13,1.0,2,10634942,59,Apartment,5,Private room,5.0
14,1.0,1,12057225,25,House,0,Private room,0.0
15,1.0,2,9843923,65,Apartment,2,Entire home/apt,0.0
16,1.0,1,6063913,48,Apartment,29,Shared room,5.0
17,1.0,1,11758977,34,Apartment,5,Shared room,5.0
0,0.0,2,11762255,69,Apartment,4,Entire home/apt,5.0
1,1.0,2,6425962,85,House,15,Private room,5.0
2,1.0,4,1696544,90,House,82,Entire home/apt,5.0
3,1.0,2,12073113,65,Apartment,0,Private room,0.0
4,1.0,2,11264054,69,House,4,Private room,5.0
5,0.0,2,8450033,119,Apartment,9,Entire home/apt,4.5
6,0.0,2,5893019,90,Apartment,35,Entire home/apt,5.0
7,1.0,1,3405746,39,Apartment,35,Private room,4.0
8,1.0,3,848662,79,House,231,Private room,4.5
9,2.0,3,11864396,150,House,0,Entire home/apt,0.0
10,1.0,1,8521199,52,House,25,Private room,5.0
11,1.0,2,1059849,130,House,86,Entire home/apt,5.0
12,1.0,5,9979938,120,Apartment,9,Entire home/apt,5.0
13,1.0,2,2560012,124,House,104,Entire home/apt,5.0
14,1.0,2,6041087,119,Apartment,6,Entire home/apt,4.0
15,1.0,1,4701794,47,Apartment,9,Private room,5.0
16,1.0,2,5218252,70,House,15,Private room,5.0
17,1.0,2,6935037,59,House,43,Private room,5.0
0,0.0,3,11049206,149,Apartment,9,Entire home/apt,5.0
1,0.0,2,10554784,89,Apartment,15,Entire home/apt,4.5
2,1.0,2,12093734,69,Apartment,1,Private room,0.0
3,0.0,2,10297019,125,Apartment,17,Entire home/apt,5.0
4,1.0,4,69838,100,House,335,Private room,5.0
5,0.0,1,8107505,60,Apartment,6,Entire home/apt,4.5
6,1.0,2,10414541,99,Townhouse,6,Private room,5.0
7,1.0,2,11719359,79,Apartment,4,Private room,4.5
8,0.0,3,4295444,75,Apartment,51,Entire home/apt,4.5
9,1.0,2,6311019,129,Apartment,23,Entire home/apt,5.0
10,1.0,2,4462099,60,House,90,Private room,5.0
11,1.0,2,997495,85,House,5,Private room,4.5
12,0.0,2,11493530,69,Apartment,6,Entire home/apt,4.5
13,1.0,2,11593917,43,House,3,Private room,5.0
14,0.0,2,1476237,125,Apartment,43,Entire home/apt,4.5
15,1.0,2,8537578,76,Apartment,22,Private room,4.5
16,0.0,2,11852006,99,House,2,Entire home/apt,0.0
17,2.0,3,2908747,93,House,15,Entire home/apt,5.0
0,1.0,2,1014540,49,House,47,Private room,4.5
1,1.0,2,9297577,93,Apartment,7,Private room,5.0
2,0.0,2,3193063,70,House,167,Entire home/apt,4.5
3,1.0,2,4341243,70,Apartment,12,Private room,5.0
4,0.0,2,9184668,61,Apartment,3,Entire home/apt,4.5
5,2.0,4,4025897,125,House,14,Entire home/apt,5.0
6,0.0,2,9078184,59,Apartment,29,Entire home/apt,4.5
7,1.0,1,11376243,35,Apartment,7,Shared room,5.0
8,1.0,2,8425251,110,Apartment,7,Entire home/apt,4.5
9,1.0,2,2844501,87,House,95,Entire home/apt,5.0
10,0.0,2,11620599,106,House,9,Entire home/apt,5.0
11,1.0,2,8278027,68,House,16,Entire home/apt,5.0
12,1.0,2,9508320,95,Apartment,36,Private room,5.0
13,2.0,4,7751558,141,House,24,Entire home/apt,5.0
14,0.0,3,3625353,159,Apartment,106,Entire home/apt,5.0
15,0.0,3,8223,85,Apartment,8,Entire home/apt,5.0
16,1.0,2,4933756,94,House,55,Entire home/apt,5.0
17,1.0,1,10282906,80,Apartment,4,Private room,5.0
0,1.0,2,79832,120,House,286,Entire home/apt,5.0
1,1.0,1,4716603,75,Other,7,Private room,5.0
2,1.0,2,5683308,145,Apartment,42,Entire home/apt,5.0
3,1.0,2,9010363,70,House,3,Private room,4.5
4,1.0,2,725462,125,Apartment,155,Entire home/apt,4.5
5,1.0,2,11866000,90,Apartment,1,Entire home/apt,0.0
6,1.0,2,50358,50,House,55,Private room,5.0
7,0.0,2,8325720,140,Apartment,35,Entire home/apt,5.0
8,1.0,2,581058,55,House,81,Private room,5.0
9,1.0,2,4030581,93,House,37,Private room,5.0
10,0.0,2,5102836,92,House,123,Entire home/apt,4.5
11,1.0,2,10414699,79,Townhouse,10,Private room,5.0
12,0.0,4,11285505,109,Apartment,12,Entire home/apt,5.0
13,1.0,2,5652968,75,Apartment,13,Private room,5.0
14,1.0,2,11228332,55,Apartment,4,Private room,5.0
15,1.0,2,3022052,60,House,91,Private room,5.0
16,0.0,2,11494320,95,Apartment,2,Entire home/apt,0.0
17,1.0,2,2303082,148,House,61,Entire home/apt,5.0
0,1.0,2,165975,100,Apartment,270,Entire home/apt,5.0
1,1.0,2,9080284,99,Apartment,19,Entire home/apt,5.0
2,1.0,1,2636776,35,House,13,Private room,4.5
3,2.0,4,12007345,105,Apartment,0,Entire home/apt,0.0
4,1.0,2,1009472,92,Bed & Breakfast,223,Private room,5.0
5,1.0,2,5814570,76,Apartment,85,Private room,5.0
6,1.0,2,9045616,65,Apartment,18,Private room,5.0
7,2.0,4,6601652,229,Apartment,18,Entire home/apt,5.0
8,1.0,2,12025211,150,Apartment,1,Entire home/apt,0.0
9,0.0,3,3931037,95,Apartment,2,Entire home/apt,0.0
10,1.0,2,4341243,70,Apartment,12,Private room,5.0
11,1.0,4,9189408,76,Apartment,7,Entire home/apt,5.0
12,1.0,1,5827086,45,Apartment,29,Private room,4.5
13,1.0,2,9174607,65,Apartment,7,Private room,5.0
14,1.0,2,4366299,100,House,28,Private room,4.5
15,1.0,2,7618708,50,House,12,Private room,4.5
16,1.0,2,7517765,99,Loft,5,Private room,5.0
17,1.0,2,9691716,70,House,3,Private room,4.5
0,1.0,2,1776946,59,Apartment,46,Private room,4.5
1,1.0,2,10060797,89,Apartment,14,Private room,5.0
2,1.0,2,8799098,125,Apartment,27,Entire home/apt,4.5
3,2.0,4,12040770,195,Townhouse,1,Entire home/apt,0.0
4,1.0,2,8584731,62,Apartment,40,Private room,4.5
5,1.0,2,906749,85,House,161,Private room,5.0
